name:亚光科技 日期:2023/9/21 0:00:00 diverTimes:8 涨幅:53.98% 流通市值:80.83亿,
name:网宿科技 日期:2023/9/21 0:00:00 diverTimes:6 涨幅:20.09% 流通市值:162.62亿,
name:世纪瑞尔 日期:2023/9/21 0:00:00 diverTimes:8 涨幅:17.39% 流通市值:25.58亿,
name:太龙股份 日期:2023/9/21 0:00:00 diverTimes:6 涨幅:48.88% 流通市值:20.85亿,
name:激智科技 日期:2023/9/21 0:00:00 diverTimes:7 涨幅:21.12% 流通市值:39.87亿,
name:捷顺科技 日期:2023/9/21 0:00:00 diverTimes:7 涨幅:34.93% 流通市值:56.12亿,
name:水晶光电 日期:2023/9/21 0:00:00 diverTimes:7 涨幅:38.7% 流通市值:175.22亿,
name:英唐智控 日期:2023/9/21 0:00:00 diverTimes:8 涨幅:68.65% 流通市值:74.56亿,
name:奋达科技 日期:2023/9/21 0:00:00 diverTimes:7 涨幅:26.52% 流通市值:70.39亿,
name:安达维尔 日期:2023/9/21 0:00:00 diverTimes:8 涨幅:19.53% 流通市值:24.57亿,
name:亿道信息 日期:2023/9/21 0:00:00 diverTimes:6 涨幅:17.05% 流通市值:14.15亿,
name:东方雨虹 日期:2023/9/20 0:00:00 diverTimes:10 涨幅:3.84% 流通市值:422.85亿,
name:浙大网新 日期:2023/9/20 0:00:00 diverTimes:6 涨幅:15.02% 流通市值:71.21亿,
name:任子行 日期:2023/9/20 0:00:00 diverTimes:6 涨幅:29.6% 流通市值:36.01亿,
name:众合科技 日期:2023/9/20 0:00:00 diverTimes:6 涨幅:56.28% 流通市值:52.55亿,
name:南兴股份 日期:2023/9/18 0:00:00 diverTimes:7 涨幅:28.53% 流通市值:49.05亿,
name:中国巨石 日期:2023/9/18 0:00:00 diverTimes:8 涨幅:0.78% 流通市值:436.34亿,
name:尚品宅配 日期:2023/9/18 0:00:00 diverTimes:9 涨幅:0.62% 流通市值:23.47亿,
name:海川智能 日期:2023/9/18 0:00:00 diverTimes:8 涨幅:12.96% 流通市值:23.34亿,
name:宁科生物 日期:2023/9/15 0:00:00 diverTimes:6 涨幅:3.15% 流通市值:24.45亿,
name:富临运业 日期:2023/9/15 0:00:00 diverTimes:8 涨幅:19.28% 流通市值:25.11亿,
name:中旗新材 日期:2023/9/15 0:00:00 diverTimes:6 涨幅:4.59% 流通市值:13.58亿,
name:尚纬股份 日期:2023/9/15 0:00:00 diverTimes:6 涨幅:7.63% 流通市值:31.01亿,
name:帝欧家居 日期:2023/9/15 0:00:00 diverTimes:7 涨幅:7.36% 流通市值:19.65亿,
name:东晶电子 日期:2023/9/15 0:00:00 diverTimes:6 涨幅:12.24% 流通市值:21.74亿,
name:梦洁股份 日期:2023/9/15 0:00:00 diverTimes:6 涨幅:14.7% 流通市值:21.92亿,
name:和顺石油 日期:2023/9/15 0:00:00 diverTimes:6 涨幅:98.5% 流通市值:62.23亿,
name:金鹰股份 日期:2023/9/15 0:00:00 diverTimes:8 涨幅:9.8% 流通市值:22.32亿,
name:金牌厨柜 日期:2023/9/15 0:00:00 diverTimes:7 涨幅:2.25% 流通市值:40.77亿,
name:联翔股份 日期:2023/9/15 0:00:00 diverTimes:8 涨幅:5.88% 流通市值:7.54亿,
name:南矿集团 日期:2023/9/15 0:00:00 diverTimes:8 涨幅:8.18% 流通市值:8.81亿,
name:上峰水泥 日期:2023/9/14 0:00:00 diverTimes:7 涨幅:2.45% 流通市值:81.04亿,
